ID_HECHO,N_VICTIMAS,FECHA,DIA_SEMANA,ANIO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DE_CALLE,CALLE,CRUCE,LUGAR_DEL_HECHO,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
2019-0038,1,2019-05-04,SABADO,2019,5,4,14,MEDIODIA_11-15,AVENIDA,"UDAONDO, GUILLERMO AV.","FIGUEROA ALCORTA, PRES. AV.","UDAONDO, GUILLERMO AV. y FIGUEROA ALCORTA, PRES. AV.",13,-58.45212523,-34.54628513,PEATON-MOTO,PEATON,MOTO
2019-0039,1,2019-05-09,JUEVES,2019,5,9,3,MADRUGADA_2-5,AVENIDA,SAN PEDRITO AV.,DIRECTORIO AV.,SAN PEDRITO AV. y DIRECTORIO AV.,7,-58.46749188,-34.63551751,MOTO-AUTO,MOTO,AUTO
2019-0040,1,2019-05-09,JUEVES,2019,5,9,12,MEDIODIA_11-15,CALLE,PUAN,SANTANDER,PUAN y SANTANDER,7,-58.44263580,-34.63679732,MOTO-SD,MOTO,SD
2019-0041,1,2019-05-11,SABADO,2019,5,11,20,TARDE_16-20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",ANDALGALA,"ALBERDI, JUAN BAUTISTA AV. y ANDALGALA",9,-58.51140289,-34.65846419,MULTIPLE,AUTO,MULTIPLE
2019-0042,1,2019-05-14,MARTES,2019,5,14,15,MEDIODIA_11-15,CALLE,LIMA,CONSTITUCION,LIMA y CONSTITUCION,1,-58.38211431,-34.62465368,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0043,1,2019-05-21,MARTES,2019,5,21,9,MANIANA_6-10,AVENIDA,CORDOBA AV.,"MADERO, EDUARDO AV.","CORDOBA AV. y MADERO, EDUARDO AV.",1,-58.36951669,-34.59832047,BICICLETA-CARGAS,BICICLETA,CARGAS
2019-0044,1,2019-05-27,LUNES,2019,5,27,12,MEDIODIA_11-15,AVENIDA,BOEDO AV.,,BOEDO AV. 650,5,-58.41635217,-34.62036547,PEATON-MOTO,PEATON,MOTO
2019-0045,1,2019-06-03,LUNES,2019,6,3,7,MANIANA_6-10,AVENIDA,DEL LIBERTADOR AV.,REPUBLICA DE LA INDIA,DEL LIBERTADOR AV. y REPUBLICA DE LA INDIA,14,-58.41316147,-34.57579669,MOTO-CARGAS,MOTO,CARGAS
2019-0046,1,2019-06-04,MARTES,2019,6,4,9,MANIANA_6-10,GRAL PAZ,"PAZ, GRAL. AV.",CABILDO AV.,"PAZ, GRAL. AV. y CABILDO AV.",13,-58.47617802,-34.53825652,MOTO-AUTO,MOTO,AUTO
2019-0047,1,2019-06-06,JUEVES,2019,6,6,10,MANIANA_6-10,AVENIDA,CASEROS AV.,,CASEROS AV. 1700,4,-58.38641783,-34.63330028,PEATON-CARGAS,PEATON,CARGAS
2019-0048,1,2019-06-07,VIERNES,2019,6,7,7,MANIANA_6-10,AVENIDA,AVELLANEDA AV.,,AVELLANEDA AV. 1548,6,-58.45322169,-34.62038137,MOTO-CARGAS,MOTO,CARGAS
2019-0049,1,2019-06-08,SABADO,2019,6,8,9,MANIANA_6-10,CALLE,CIUDAD DE LA PAZ,MENDOZA,CIUDAD DE LA PAZ y MENDOZA,13,-58.45849057,-34.56166498,PEATON-CARGAS,PEATON,CARGAS
2019-0050,1,2019-06-08,SABADO,2019,6,8,23,NOCHE_21-1,AVENIDA,"SALGUERO, JERONIMO",HONDURAS AV.,"SALGUERO, JERONIMO y HONDURAS AV.",14,-58.41829559,-34.59411677,MOTO-CARGAS,MOTO,CARGAS
2019-0051,1,2019-06-11,MARTES,2019,6,11,10,MANIANA_6-10,CALLE,"FILIBERTO, JUAN DE DIOS",OLAVARRIA,"FILIBERTO, JUAN DE DIOS y OLAVARRIA",4,-58.36376488,-34.63832093,MOTO-AUTO,MOTO,AUTO
2019-0053,1,2019-06-14,VIERNES,2019,6,14,17,TARDE_16-20,AVENIDA,ASTURIAS AV.,CASTAÑARES AV.,ASTURIAS AV. y CASTAÑARES AV.,8,-58.46442668,-34.66004784,AUTO-AUTO,AUTO,AUTO
2019-0054,1,2019-06-20,JUEVES,2019,6,20,3,MADRUGADA_2-5,CALLE,GANDARA,,GANDARA 2976,15,-58.48222035,-34.58428769,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2019-0055,1,2019-06-20,JUEVES,2019,6,20,19,TARDE_16-20,AVENIDA,"GUEVARA, TRINIDAD","MADERO, EDUARDO AV.","GUEVARA, TRINIDAD y MADERO, EDUARDO AV.",1,-58.36819005,-34.60283208,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0056,1,2019-06-29,SABADO,2019,6,29,17,TARDE_16-20,AVENIDA,BOYACA AV.,,BOYACA AV. 305,7,-58.45877601,-34.62330939,PEATON-AUTO,PEATON,AUTO
2019-0057,1,2019-07-05,VIERNES,2019,7,5,19,TARDE_16-20,CALLE,ARTILLEROS,LA PAMPA,ARTILLEROS y LA PAMPA,13,-58.44196498,-34.55760517,PEATON-AUTO,PEATON,AUTO
2019-0058,1,2019-07-10,MIERCOLES,2019,7,10,9,MANIANA_6-10,AUTOPISTA,AUTOPISTA PERITO MORENO,,AUTOPISTA PERITO MORENO e IRIGOYEN,10,-58.50622631,-34.63627822,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0059,1,2019-07-13,SABADO,2019,7,13,22,NOCHE_21-1,CALLE,15 DE NOVIEMBRE DE 1889,SANTIAGO DEL ESTERO,15 DE NOVIEMBRE DE 1889 y SANTIAGO DEL ESTERO,1,-58.38410880,-34.63099197,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0060,1,2019-07-17,MIERCOLES,2019,7,17,11,MEDIODIA_11-15,AVENIDA,"ACOSTA, MARIANO AV.","FALCON, RAMON L.,CNEL.","ACOSTA, MARIANO AV. y FALCON, RAMON L.,CNEL.",10,-58.48100602,-34.63504312,PEATON-AUTO,PEATON,AUTO
2019-0061,1,2019-07-17,MIERCOLES,2019,7,17,18,TARDE_16-20,CALLE,11 DE SEPTIEMBRE DE 1888,MENDOZA,11 DE SEPTIEMBRE DE 1888 y MENDOZA,13,-58.45200171,-34.55781320,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0062,1,2019-08-01,JUEVES,2019,8,1,23,NOCHE_21-1,AVENIDA,"PINO, VIRREY DEL","CAMPOS, LUIS M. AV.","PINO, VIRREY DEL y CAMPOS, LUIS M. AV.",13,-58.44462132,-34.56201105,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0063,1,2019-08-04,DOMINGO,2019,8,4,1,NOCHE_21-1,AVENIDA,FOREST AV.,MAURE,FOREST AV. y MAURE,15,-58.45220688,-34.58711712,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0064,1,2019-08-06,MARTES,2019,8,6,3,MADRUGADA_2-5,AVENIDA,BOYACA AV.,AVELLANEDA AV.,BOYACA AV. y AVELLANEDA AV.,7,-58.45962210,-34.62245140,MOTO-AUTO,MOTO,AUTO
2019-0065,1,2019-08-08,JUEVES,2019,8,8,16,TARDE_16-20,CALLE,BARCO CENTENERA DEL,TILCARA,BARCO CENTENERA DEL y TILCARA,4,-58.41970850,-34.65414867,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0066,1,2019-08-11,DOMINGO,2019,8,11,21,NOCHE_21-1,AVENIDA,RIESTRA AV.,BOLIVAR (NO OFICIAL),RIESTRA AV. y BOLIVAR (NO OFICIAL),7,-58.44187596,-34.64938031,PEATON-AUTO,PEATON,AUTO
2019-0067,1,2019-08-14,MIERCOLES,2019,8,14,15,MEDIODIA_11-15,CALLE,"CASTRO, EMILIO",,"CASTRO, EMILIO 4706",10,-58.49101637,-34.64276621,MOTO-CARGAS,MOTO,CARGAS
2019-0068,1,2019-08-14,MIERCOLES,2019,8,14,17,TARDE_16-20,AVENIDA,27 DE FEBRERO AV.,,27 DE FEBRERO AV. 5600,8,-58.42493829,-34.66256502,MOTO-MOTO,MOTO,MOTO
2019-0069,1,2019-08-17,SABADO,2019,8,17,5,MADRUGADA_2-5,AVENIDA,"GARAY, JUAN DE AV.",,"GARAY, JUAN DE AV. 2874",4,-58.40489318,-34.62930162,MOTO-AUTO,MOTO,AUTO
2019-0070,1,2019-08-22,JUEVES,2019,8,22,12,MEDIODIA_11-15,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",GORRITI,"SCALABRINI ORTIZ, RAUL AV. y GORRITI",14,-58.42686680,-34.59217875,MOTO-BICICLETA,MOTO,BICICLETA
2019-0071,1,2019-08-27,MARTES,2019,8,27,11,MEDIODIA_11-15,AVENIDA,PRIMERA JUNTA,OLIVERA AV.,PRIMERA JUNTA y OLIVERA AV.,9,-58.47961100,-34.65620398,PEATON-CARGAS,PEATON,CARGAS
2019-0072,1,2019-08-28,MIERCOLES,2019,8,28,6,MANIANA_6-10,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",AZUL,"ALBERDI, JUAN BAUTISTA AV. y AZUL",10,-58.47439934,-34.63524207,AUTO-AUTO,AUTO,AUTO
2019-0073,1,2019-08-29,JUEVES,2019,8,29,1,NOCHE_21-1,AVENIDA,ALVAREZ THOMAS AV.,,ALVAREZ THOMAS AV. 1788,15,-58.46711912,-34.57926018,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2019-0074,1,2019-08-29,JUEVES,2019,8,29,9,MANIANA_6-10,AUTOPISTA,"LUGONES, LEOPOLDO AV.","PAZ, GRAL. AV.","LUGONES, LEOPOLDO AV. y PAZ, GRAL. AV.",13,-58.46514781,-34.53465378,MOTO-CARGAS,MOTO,CARGAS
2019-0075,1,2019-08-30,VIERNES,2019,8,30,23,NOCHE_21-1,CALLE,SAN ANTONIO,LUJAN,SAN ANTONIO y LUJAN,4,-58.37571078,-34.65584079,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0076,1,2019-09-05,JUEVES,2019,9,5,18,TARDE_16-20,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,MOTO-CARGAS,MOTO,CARGAS
2019-0077,1,2019-09-08,DOMINGO,2019,9,8,3,MADRUGADA_2-5,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",TAGLE,"FIGUEROA ALCORTA, PRES. AV. y TAGLE",14,-58.39811256,-34.58070186,PEATON-AUTO,PEATON,AUTO
2019-0078,1,2019-09-12,JUEVES,2019,9,12,8,MANIANA_6-10,AVENIDA,"EINSTEIN, ALBERTO","ALCORTA, AMANCIO AV.","EINSTEIN, ALBERTO y ALCORTA, AMANCIO AV.",4,-58.41125934,-34.65417740,PEATON-CARGAS,PEATON,CARGAS
2019-0079,1,2019-09-17,MARTES,2019,9,17,5,MADRUGADA_2-5,CALLE,AGRELO,COLOMBRES,AGRELO y COLOMBRES,5,-58.41822901,-34.61866836,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0080,1,2019-09-17,MARTES,2019,9,17,18,TARDE_16-20,GRAL PAZ,CABILDO AV.,"PAZ, GRAL. AV.","CABILDO AV. y PAZ, GRAL. AV.",13,-58.47617802,-34.53825652,PEATON-MOTO,PEATON,MOTO
2019-0081,1,2019-09-23,LUNES,2019,9,23,16,TARDE_16-20,AVENIDA,ELCANO AV.,,ELCANO AV. 4300,15,-58.46141281,-34.58623761,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0082,1,2019-09-25,MIERCOLES,2019,9,25,7,MANIANA_6-10,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",,"RABANAL, FRANCISCO, INTENDENTE AV. 2428",8,-58.42985146,-34.66119740,BICICLETA-CARGAS,BICICLETA,CARGAS
2019-0083,1,2019-09-26,JUEVES,2019,9,26,8,MANIANA_6-10,CALLE,MONTE,CORVALAN,MONTE y CORVALAN,9,-58.48457413,-34.65839090,AUTO-AUTO,AUTO,AUTO
2019-0084,1,2019-09-27,VIERNES,2019,9,27,11,MEDIODIA_11-15,CALLE,TANDIL,LAFUENTE,TANDIL y LAFUENTE,7,-58.46572884,-34.63628186,BICICLETA-CARGAS,BICICLETA,CARGAS
2019-0085,1,2019-10-09,MIERCOLES,2019,10,9,22,NOCHE_21-1,CALLE,CARDOSO,BACACAY,CARDOSO y BACACAY,10,-58.49261744,-34.63419130,BICICLETA-TREN,BICICLETA,TREN
2019-0086,1,2019-10-15,MARTES,2019,10,15,14,MEDIODIA_11-15,AVENIDA,CORRIENTES AV.,,CORRIENTES AV. 6700,15,-58.45283186,-34.58841560,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0087,1,2019-10-21,LUNES,2019,10,21,21,NOCHE_21-1,AVENIDA,ALVAREZ THOMAS AV.,MENDOZA,ALVAREZ THOMAS AV. y MENDOZA,12,-58.47973681,-34.57418656,MOTO-MOTO,MOTO,MOTO
2019-0088,1,2019-10-22,MARTES,2019,10,22,20,TARDE_16-20,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS
