,ID_VICTIMA,ID_HECHO,ROL,SEXO,EDAD,RANGO_ETAREO,FECHA,HORA,TIPO_DE_CALLE,CALLE,CRUCE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO
362,2018-0074-363,2018-0074,CONDUCTOR,MASCULINO,25,18_33,2018-07-14,6,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",,7,-58.46941984,-34.63376545,AUTO,CARGAS
363,2018-0075-364,2018-0075,PEATON,MASCULINO,23,18_33,2018-07-15,7,AVENIDA,DEL LIBERTADOR AV.,ORTIZ DE OCAMPO,14,-58.40367321,-34.58129246,PEATON,AUTO
364,2018-0076-365,2018-0076,CONDUCTOR,MASCULINO,73,>65,2018-07-16,9,CALLE,"CHAVEZ, JORGE","PAZ, GRAL. AV.",9,-58.52932872,-34.65014993,AUTO,CARGAS
365,2018-0077-366,2018-0077,CONDUCTOR,MASCULINO,58,50_65,2018-07-16,23,CALLE,"URQUIZA, GRAL.",ESTADOS UNIDOS,3,-58.40917826,-34.62126274,AUTO,CARGAS
366,2018-0078-367,2018-0078,PEATON,MASCULINO,27,18_33,2018-07-21,6,CALLE,PARAGUAY,SANCHEZ DE BUSTAMANTE,2,-58.41264127,-34.59473294,PEATON,AUTO
367,2018-0079-368,2018-0079,PEATON,MASCULINO,SD,SD,2018-07-23,7,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,PEATON,CARGAS
368,2018-0080-369,2018-0080,PEATON,MASCULINO,26,18_33,2018-07-25,22,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CARHUE,9,-58.51232237,-34.65903530,PEATON,AUTO
369,2018-0081-370,2018-0081,PEATON,MASCULINO,35,34_49,2018-07-29,6,AVENIDA,CASTANARES AV.,RIVERA INDARTE AV.,7,-58.44744156,-34.64567171,PEATON,MULTIPLE
370,2018-0082-371,2018-0082,CONDUCTOR,FEMENINO,17,<18,2018-08-01,15,AVENIDA,LARRAZABAL,"GARZON, EUGENIO, GRAL. AV.",9,-58.49441273,-34.65869968,MOTO,CARGAS
371,2018-0083-372,2018-0083,CONDUCTOR,MASCULINO,SD,SD,2018-08-02,5,GRAL PAZ,"PAZ, GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47976785,-34.69153196,MOTO,CARGAS
372,2018-0084-373,2018-0084,PEATON,MASCULINO,45,34_49,2018-08-03,7,AVENIDA,"MOREAU DE JUSTO, ALICIA AV.",COCHABAMBA,1,-58.36523349,-34.62260331,PEATON,CARGAS
373,2018-0085-374,2018-0085,PASAJERO_ACOMPAÑANTE,FEMENINO,22,18_33,2018-08-03,18,AVENIDA,ENTRE RIOS AV.,"GARAY, JUAN DE AV.",3,-58.39118948,-34.62704273,MOTO,PASAJEROS
374,2018-0085-375,2018-0085,CONDUCTOR,MASCULINO,30,18_33,2018-08-03,18,AVENIDA,ENTRE RIOS AV.,"GARAY, JUAN DE AV.",3,-58.39118948,-34.62704273,MOTO,PASAJEROS
375,2018-0086-376,2018-0086,PEATON,MASCULINO,40,34_49,2018-08-10,21,AVENIDA,DIRECTORIO AV.,GUARDIA NACIONAL,9,-58.49019551,-34.65015854,PEATON,PASAJEROS
376,2018-0087-377,2018-0087,PEATON,MASCULINO,75,>65,2018-08-15,19,AVENIDA,PAVON AV.,COLOMBRES,5,-58.41644362,-34.63023775,PEATON,PASAJEROS
377,2018-0088-378,2018-0088,CONDUCTOR,MASCULINO,SD,SD,2018-08-17,16,GRAL PAZ,"PAZ, GRAL. AV.","BALBIN, RICARDO, DR. AV.",12,-58.50073810,-34.54979510,MOTO,CARGAS
378,2018-0089-379,2018-0089,PEATON,MASCULINO,80,>65,2018-08-17,17,AVENIDA,PICHINCHA AV.,BRASIL,4,-58.39626094,-34.63036565,PEATON,PASAJEROS
379,2018-0090-380,2018-0090,CONDUCTOR,MASCULINO,27,18_33,2018-08-18,10,AVENIDA,27 DE FEBRERO AV.,PERGAMINO,8,-58.43284809,-34.67051543,MOTO,AUTO
380,2018-0091-381,2018-0091,PASAJERO_ACOMPAÑANTE,FEMENINO,23,18_33,2018-08-19,18,AUTOPISTA,AUTOPISTA PERITO MORENO,BARRAGAN,9,-58.52280139,-34.63659934,AUTO,AUTO
381,2018-0092-382,2018-0092,CONDUCTOR,MASCULINO,23,18_33,2018-08-20,8,AVENIDA,CORDOBA AV.,GASCON,14,-58.42336930,-34.59774487,MOTO,AUTO
382,2018-0093-383,2018-0093,PEATON,MASCULINO,24,18_33,2018-08-20,8,CALLE,15 DE NOVIEMBRE DE 1889,,1,-58.38691681,-34.63105973,PEATON,PASAJEROS
383,2018-0094-384,2018-0094,CONDUCTOR,MASCULINO,32,18_33,2018-08-23,5,CALLE,"SALGUERO, JERONIMO",BERUTI,14,-58.41169020,-34.58579880,MOTO,PASAJEROS
384,2018-0095-385,2018-0095,PASAJERO_ACOMPAÑANTE,FEMENINO,49,34_49,2018-08-26,0,AVENIDA,LACARRA AV.,"DELLEPIANE, LUIS, TTE. GRAL.",9,-58.46739825,-34.65117757,AUTO,AUTO
